04-10-2021 00:00:06 Se inicia el registro: logRestHopu
04-10-2021 00:00:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:00:07 Se graban todos los datos correctamente
04-10-2021 00:00:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:00:37 Se graban todos los datos correctamente
04-10-2021 00:01:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:01:07 Se graban todos los datos correctamente
04-10-2021 00:01:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:01:37 Se graban todos los datos correctamente
04-10-2021 00:02:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:02:07 Se graban todos los datos correctamente
04-10-2021 00:02:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:02:37 Se graban todos los datos correctamente
04-10-2021 00:03:07 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:03:07 Se graban todos los datos correctamente
04-10-2021 00:03:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:03:37 Se graban todos los datos correctamente
04-10-2021 00:04:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:04:07 Se graban todos los datos correctamente
04-10-2021 00:04:37 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:04:37 Se graban todos los datos correctamente
04-10-2021 00:05:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:05:07 Se graban todos los datos correctamente
04-10-2021 00:05:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:05:37 Se graban todos los datos correctamente
04-10-2021 00:06:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:06:07 Se graban todos los datos correctamente
04-10-2021 00:06:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:06:37 Se graban todos los datos correctamente
04-10-2021 00:07:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:07:07 Se graban todos los datos correctamente
04-10-2021 00:07:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:07:37 Se graban todos los datos correctamente
04-10-2021 00:08:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:08:07 Se graban todos los datos correctamente
04-10-2021 00:08:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:08:37 Se graban todos los datos correctamente
04-10-2021 00:09:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:09:07 Se graban todos los datos correctamente
04-10-2021 00:09:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:09:37 Se graban todos los datos correctamente
04-10-2021 00:10:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:10:07 Se graban todos los datos correctamente
04-10-2021 00:10:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:10:37 Se graban todos los datos correctamente
04-10-2021 00:11:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:11:07 Se graban todos los datos correctamente
04-10-2021 00:11:37 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:11:37 Se graban todos los datos correctamente
04-10-2021 00:12:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:12:07 Se graban todos los datos correctamente
04-10-2021 00:12:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:12:37 Se graban todos los datos correctamente
04-10-2021 00:13:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:13:07 Se graban todos los datos correctamente
04-10-2021 00:13:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:13:37 Se graban todos los datos correctamente
04-10-2021 00:14:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:14:07 Se graban todos los datos correctamente
04-10-2021 00:14:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:14:37 Se graban todos los datos correctamente
04-10-2021 00:15:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:15:07 Se graban todos los datos correctamente
04-10-2021 00:15:37 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:15:37 Se graban todos los datos correctamente
04-10-2021 00:16:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:16:07 Se graban todos los datos correctamente
04-10-2021 00:16:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:16:37 Se graban todos los datos correctamente
04-10-2021 00:17:07 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:17:07 Se graban todos los datos correctamente
